Offer                                 Publisher         Sku                                                 Urn                                                                                                   Version
secured-nodejs-on-centos              cognosys          new-secured-node-js-ent-lic                         cognosys:secured-nodejs-on-centos:new-secured-node-js-ent-lic:1.2.0                                   1.2.0
secured-nodejs-on-centos              cognosys          new-secured-node-js-pro-lic                         cognosys:secured-nodejs-on-centos:new-secured-node-js-pro-lic:1.2.0                                   1.2.0
secured-open-cart-on-centos           cognosys          secured-open-cart-on-centos                         cognosys:secured-open-cart-on-centos:secured-open-cart-on-centos:1.0.0                                1.0.0
secured-open-cart-on-centos           cognosys          secured-open-cart-on-centos                         cognosys:secured-open-cart-on-centos:secured-open-cart-on-centos:1.1.1                                1.1.1
secured-orangehrm-on-centos           cognosys          secured-orangehrm-on-centos                         cognosys:secured-orangehrm-on-centos:secured-orangehrm-on-centos:1.0.0                                1.0.0
secured-orangehrm-on-centos           cognosys          secured-orangehrm-on-centos                         cognosys:secured-orangehrm-on-centos:secured-orangehrm-on-centos:1.1.1                                1.1.1
secured-osclass-on-centos             cognosys          secured-osclass-on-centos                           cognosys:secured-osclass-on-centos:secured-osclass-on-centos:1.0.0                                    1.0.0
secured-osclass-on-centos             cognosys          secured-osclass-on-centos                           cognosys:secured-osclass-on-centos:secured-osclass-on-centos:1.1.1                                    1.1.1
secured-owncloud-on-centos            cognosys          secured-owncloud-on-centos                          cognosys:secured-owncloud-on-centos:secured-owncloud-on-centos:1.0.0                                  1.0.0
secured-owncloud-on-centos            cognosys          secured-owncloud-on-centos                          cognosys:secured-owncloud-on-centos:secured-owncloud-on-centos:1.1.1                                  1.1.1
secured-oxid-eshop-on-centos          cognosys          secured-oxid-eshop-on-centos                        cognosys:secured-oxid-eshop-on-centos:secured-oxid-eshop-on-centos:1.0.0                              1.0.0
secured-oxid-eshop-on-centos          cognosys          secured-oxid-eshop-on-centos                        cognosys:secured-oxid-eshop-on-centos:secured-oxid-eshop-on-centos:1.1.1                              1.1.1
secured-passenger-nginx-on-centos     cognosys          secured-passenger-nginx-on-centos                   cognosys:secured-passenger-nginx-on-centos:secured-passenger-nginx-on-centos:1.0.0                    1.0.0
secured-passenger-nginx-on-centos     cognosys          secured-passenger-nginx-on-centos                   cognosys:secured-passenger-nginx-on-centos:secured-passenger-nginx-on-centos:1.1.1                    1.1.1
secured-piwigo-gallery-on-centos      cognosys          secured-piwigo-gallery-on-centos                    cognosys:secured-piwigo-gallery-on-centos:secured-piwigo-gallery-on-centos:1.0.0                      1.0.0
secured-piwigo-gallery-on-centos      cognosys          secured-piwigo-gallery-on-centos                    cognosys:secured-piwigo-gallery-on-centos:secured-piwigo-gallery-on-centos:1.1.1                      1.1.1
secured-plone-on-centos               cognosys          new-secured-plone-on-centos-basic                   cognosys:secured-plone-on-centos:new-secured-plone-on-centos-basic:1.2.0                              1.2.0
secured-plone-on-centos               cognosys          new-secured-plone-on-centos-enterprise-lic          cognosys:secured-plone-on-centos:new-secured-plone-on-centos-enterprise-lic:1.2.0                     1.2.0
secured-plone-on-centos               cognosys          new-secured-plone-on-centos-proffessional-lic       cognosys:secured-plone-on-centos:new-secured-plone-on-centos-proffessional-lic:1.2.0                  1.2.0
secured-prestashop-on-centos          cognosys          new-secured-prestashop-on-centos                    cognosys:secured-prestashop-on-centos:new-secured-prestashop-on-centos:1.2.0                          1.2.0
secured-prestashop-on-centos          cognosys          new-secured-prestashop-on-centos-ent-lic            cognosys:secured-prestashop-on-centos:new-secured-prestashop-on-centos-ent-lic:1.2.0                  1.2.0
secured-prestashop-on-centos          cognosys          new-secured-prestashop-on-centos-pro-lic            cognosys:secured-prestashop-on-centos:new-secured-prestashop-on-centos-pro-lic:1.2.0                  1.2.0
secured-redis-on-centos               cognosys          secured-redis-on-centos                             cognosys:secured-redis-on-centos:secured-redis-on-centos:1.0.0                                        1.0.0
secured-redis-on-centos               cognosys          secured-redis-on-centos                             cognosys:secured-redis-on-centos:secured-redis-on-centos:1.1.1                                        1.1.1
secured-redmine-on-centos             cognosys          secured-redmine-on-centos                           cognosys:secured-redmine-on-centos:secured-redmine-on-centos:1.0.0                                    1.0.0
secured-redmine-on-centos             cognosys          secured-redmine-on-centos                           cognosys:secured-redmine-on-centos:secured-redmine-on-centos:1.1.1                                    1.1.1
secured-report-server-on-centos       cognosys          secured-report-server-on-centos                     cognosys:secured-report-server-on-centos:secured-report-server-on-centos:1.0.0                        1.0.0
secured-report-server-on-centos       cognosys          secured-report-server-on-centos                     cognosys:secured-report-server-on-centos:secured-report-server-on-centos:1.1.1                        1.1.1
secured-resource-space-on-centos      cognosys          secured-resource-space-on-centos                    cognosys:secured-resource-space-on-centos:secured-resource-space-on-centos:1.0.0                      1.0.0
secured-resource-space-on-centos      cognosys          secured-resource-space-on-centos                    cognosys:secured-resource-space-on-centos:secured-resource-space-on-centos:1.1.1                      1.1.1
secured-round-cube-on-centos          cognosys          secured-round-cube-on-centos                        cognosys:secured-round-cube-on-centos:secured-round-cube-on-centos:1.1.1                              1.1.1
secured-ruby-on-centos                cognosys          secured-ruby-on-centos                              cognosys:secured-ruby-on-centos:secured-ruby-on-centos:1.0.0                                          1.0.0
secured-ruby-on-centos                cognosys          secured-ruby-on-centos                              cognosys:secured-ruby-on-centos:secured-ruby-on-centos:1.1.1                                          1.1.1
secured-seopanel-on-centos            cognosys          new-secured-seopanel-on-centos-ent-lic              cognosys:secured-seopanel-on-centos:new-secured-seopanel-on-centos-ent-lic:1.2.0                      1.2.0
secured-seopanel-on-centos            cognosys          new-secured-seopanel-on-centos-pro-lic              cognosys:secured-seopanel-on-centos:new-secured-seopanel-on-centos-pro-lic:1.2.0                      1.2.0
secured-seopanel-on-centos            cognosys          secured-seopanel-on-centos                          cognosys:secured-seopanel-on-centos:secured-seopanel-on-centos:1.2.0                                  1.2.0
